iter	Logloss
0	0.6921027427
1	0.6911274625
2	0.6900098727
3	0.6888534702
4	0.6879243625
5	0.6869652719
6	0.6855648992
7	0.6846296067
8	0.6837250404
9	0.6827802386
10	0.682202769
11	0.6810386974
12	0.6801304773
13	0.6793442298
14	0.6786189286
15	0.6774786578
16	0.6765839752
17	0.6756069649
18	0.6751262927
19	0.6743418391
20	0.6736817141
21	0.6724103287
22	0.6711580777
23	0.6701191864
24	0.6695218842
25	0.6692392645
26	0.667891475
27	0.6669231061
28	0.6665148487
29	0.6660332613
30	0.6647443841
31	0.66378178
32	0.6623226484
33	0.6615258576
34	0.6606876464
35	0.6599811877
36	0.6589394225
37	0.6579513891
38	0.6572230072
39	0.65635219
40	0.6553589981
41	0.6548153566
42	0.6540900909
43	0.6536039954
44	0.6523378306
45	0.6514878909
46	0.6509726312
47	0.6495415672
48	0.6488096921
49	0.6481726775
50	0.6477110739
51	0.6472798019
52	0.6465000178
53	0.6457292553
54	0.6445662795
55	0.6435665894
56	0.6425573738
57	0.6418433999
58	0.6408269652
59	0.6397893839
60	0.6390223106
61	0.6381361155
62	0.6370566269
63	0.6357179104
64	0.6348337012
65	0.6342381133
66	0.633602377
67	0.6330692196
68	0.6324373861
69	0.631522694
70	0.6310575106
71	0.6304796887
72	0.6298470986
73	0.6287505675
74	0.6281537693
75	0.6277694831
76	0.6269334858
77	0.6258158761
78	0.6249265043
79	0.6240791512
80	0.623527986
81	0.6229892303
82	0.6218017302
83	0.6210222365
84	0.6203868504
85	0.6193718277
86	0.6186603912
87	0.6177216573
88	0.6168836058
89	0.6158771102
90	0.6150347734
91	0.6139875709
92	0.6130008511
93	0.6126185408
94	0.6116469467
95	0.6110383786
96	0.6103740832
97	0.6093643222
98	0.6085923466
99	0.6081531541
100	0.6076035985
101	0.6068121586
102	0.6061823076
103	0.6052388813
104	0.6047113197
105	0.6040129364
106	0.6033225268
107	0.6028653476
108	0.6025798522
109	0.6019544239
110	0.6007726279
111	0.6003083222
112	0.599960411
113	0.5988564341
114	0.5982813938
115	0.5981328211
116	0.5972487802
117	0.5963043713
118	0.5958536042
119	0.5953352501
120	0.5946864601
121	0.5941519902
122	0.5935580029
123	0.5930381286
124	0.5922549444
125	0.5915769068
126	0.5908921786
127	0.590501532
128	0.5901349599
129	0.5894115338
130	0.5883653491
131	0.5875610891
132	0.5864375235
133	0.5851750053
134	0.5844312555
135	0.5833734038
136	0.5829327717
137	0.5822922248
138	0.5817651349
139	0.5812826094
140	0.5805227154
141	0.5797015623
142	0.5793846187
143	0.5786542552
144	0.5774922697
145	0.5763741337
146	0.5758922047
147	0.5750636898
148	0.5743757462
149	0.573189941
150	0.5727913125
151	0.5722885493
152	0.5717069072
153	0.5714269718
154	0.5706866055
155	0.5699349001
156	0.5692344786
157	0.568803449
158	0.5680311122
159	0.5674430635
160	0.5671105629
161	0.56661103
162	0.5661113965
163	0.5657721041
164	0.5652257058
165	0.5647838638
166	0.5644016073
167	0.5635309387
168	0.5631062957
169	0.5619179546
170	0.5615734718
171	0.5610138
172	0.5602419723
173	0.5594119799
174	0.5587283241
175	0.5581825974
176	0.557384615
177	0.5567190422
178	0.5563277607
179	0.5555547762
180	0.5550072147
181	0.5547498107
182	0.554163004
183	0.5536876851
184	0.5530746603
185	0.5526633633
186	0.5517695353
187	0.5510103048
188	0.5500168582
189	0.5490188956
190	0.5483352558
191	0.5476985735
192	0.5468302064
193	0.5463076661
194	0.5459668647
195	0.5454958737
196	0.5450760741
197	0.5443542509
198	0.5437491633
199	0.5432636233
200	0.5421792317
201	0.5415237636
202	0.5410073342
203	0.5399137125
204	0.5394703241
205	0.5389727337
206	0.5384096598
207	0.5377989287
208	0.5372808583
209	0.5370076311
210	0.5364159996
211	0.5357347286
212	0.5354464564
213	0.5349876769
214	0.5344014358
215	0.5339448406
216	0.5336102267
217	0.5330959251
218	0.5327879341
219	0.5320633914
220	0.5315215287
221	0.530831457
222	0.5305188423
223	0.5299503021
224	0.5296814027
225	0.5293018985
226	0.5289480441
227	0.5283842959
228	0.5275471658
229	0.5271716542
230	0.5269019602
231	0.5266661036
232	0.5260443074
233	0.5255475241
234	0.5249072035
235	0.5243573448
236	0.5238377948
237	0.5234789861
238	0.5231231701
239	0.5226303141
240	0.5220637255
241	0.5215692524
242	0.5212683451
243	0.5208790877
244	0.520379275
245	0.5198117161
246	0.5193880026
247	0.5188400053
248	0.5182461375
249	0.5174715827
250	0.5166150346
251	0.5158663715
252	0.5154052477
253	0.5150771645
254	0.5144099112
255	0.5139259423
256	0.5129780343
257	0.5125518576
258	0.5122881289
259	0.5119901454
260	0.5115408473
261	0.5105771134
262	0.5099838566
263	0.5094981522
264	0.5092904347
265	0.5086027685
266	0.5082276918
267	0.507418674
268	0.5069625597
269	0.5062541666
270	0.5057623818
271	0.5050041392
272	0.5044475108
273	0.50393616
274	0.5034954073
275	0.5030044684
276	0.5024377095
277	0.5018227606
278	0.5011748212
279	0.5006652376
280	0.5004874762
281	0.5000815209
282	0.4995597879
283	0.4990545724
284	0.4986309044
285	0.4980467702
286	0.4975131462
287	0.4971596825
288	0.4966964269
289	0.4960652265
290	0.4957072503
